"TaxonToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Allosaurus mesial","Late Jurassic",12,11.07,0.9225,1.72416666666667,10,0.5,20.69
"Allosaurus mesial","Late Jurassic",13.04,9.28,0.711656441717791,2.06901840490798,11,0.454545454545455,26.98
"Allosaurus mesial","Late Jurassic",20.36,12.29,0.603634577603143,2.43467583497053,9,0.555555555555556,49.57
"Allosaurus mesial","Late Jurassic",16.01,8.23,0.514053716427233,2.12679575265459,12.5,0.4,34.05
"Allosaurus mesial","Late Jurassic",16.75,15.89,0.94865671641791,2.28955223880597,9.5,0.526315789473684,38.35
"Allosaurus mesial","Late Jurassic",16.74,14.27,0.852449223416965,2.14635603345281,10,0.5,35.93
"Allosaurus mesial","Late Jurassic",16.96,15.28,0.900943396226415,2.59139150943396,10,0.5,43.95
"Allosaurus mesial","Late Jurassic",16.4,14.76,0.9,2.40975609756098,10.62,0.470809792843691,39.52
"Allosaurus mesial","Late Jurassic",10.47,8.88,0.848137535816619,2.6007640878701,10.5,0.476190476190476,27.23
"Allosaurus lateral","Late Jurassic",11.52,8.42,0.730902777777778,2.23003472222222,13.75,0.363636363636364,25.69
"Allosaurus lateral","Late Jurassic",5.47,6.39,1.16819012797075,2.24314442413163,13,0.384615384615385,12.27
"Allosaurus lateral","Late Jurassic",7.74,6.07,0.784237726098191,2.46770025839793,13.5,0.37037037037037,19.1
"Allosaurus lateral","Late Jurassic",12.75,11.8,0.925490196078431,1.82352941176471,10,0.5,23.25
"Allosaurus lateral","Late Jurassic",14.13,13.29,0.940552016985138,2.18188251946214,10,0.5,30.83
"Allosaurus lateral","Late Jurassic",14.68,11.23,0.764986376021798,1.98910081743869,11.66,0.428816466552316,29.2
"Allosaurus lateral","Late Jurassic",14.94,7.17,0.479919678714859,2.10642570281124,13.125,0.380952380952381,31.47
"Allosaurus lateral","Late Jurassic",22.59,12.05,0.533421868083223,2.10225763612218,11.5,0.434782608695652,47.49
"Allosaurus lateral","Late Jurassic",20.57,13.93,0.677199805542052,2.29897909577054,12.5,0.4,47.29
"Allosaurus lateral","Late Jurassic",18.67,13.44,0.719871451526513,2.2560257096947,10.5,0.476190476190476,42.12
"Allosaurus mesial","Late Jurassic",14.88,17.3,1.16263440860215,2.28293010752688,9,0.555555555555556,33.97
"Allosaurus mesial","Late Jurassic",17.92,15.38,0.858258928571428,2.24330357142857,10,0.5,40.2
"Allosaurus mesial","Late Jurassic",10.93,12.56,1.14913083257091,2.31015553522415,10.25,0.48780487804878,25.25
"Allosaurus mesial","Late Jurassic",17.64,14.49,0.821428571428571,2.07142857142857,10,0.5,36.54
"Allosaurus mesial","Late Jurassic",10.67,9.53,0.893158388003749,2.25210871602624,12,0.416666666666667,24.03
"Allosaurus lateral","Late Jurassic",23.33,10.77,0.46163737676811,1.94770681525932,11,0.454545454545455,45.44
"Allosaurus lateral","Late Jurassic",16.74,8.25,0.492831541218638,1.74671445639188,12,0.416666666666667,29.24
"Allosaurus lateral","Late Jurassic",15.63,10.09,0.64555342290467,2.29750479846449,12,0.416666666666667,35.91
"Allosaurus lateral","Late Jurassic",20.28,13.4,0.660749506903353,2.29881656804734,12.5,0.4,41.08
"Allosaurus lateral","Late Jurassic",21.71,14.01,0.645324735145094,2.17042837402119,13.5,0.37037037037037,47.12
"Allosaurus lateral","Late Jurassic",16.24,8.01,0.493226600985222,1.98399014778325,13,0.384615384615385,32.22
"Allosaurus lateral","Late Jurassic",20.64,12.89,0.624515503875969,2.18313953488372,12.5,0.4,45.06
"Allosaurus lateral","Late Jurassic",22.87,15.86,0.693484914735461,2.18058592041976,10.5,0.476190476190476,49.87
"Allosaurus lateral","Late Jurassic",14.99,7.33,0.488992661774516,2.00266844563042,10,0.5,30.02
"Allosaurus lateral","Late Jurassic",15.22,7.04,0.462549277266754,2.19973718791064,11,0.454545454545455,33.48
"Allosaurus lateral","Late Jurassic",12.08,7.45,0.616721854304636,2.10513245033113,17.5,0.285714285714286,25.43
"Allosaurus lateral","Late Jurassic",14.06,7.59,0.539829302987198,2.02702702702703,14,0.357142857142857,28.5
"Allosaurus lateral","Late Jurassic",14.78,7.21,0.487821380243572,1.72665764546685,15,0.333333333333333,25.52
"Allosaurus lateral","Late Jurassic",17.32,13.03,0.752309468822171,2.20842956120092,11.5,0.434782608695652,38.25
"Allosaurus lateral","Late Jurassic",11.77,8.26,0.7017841971113,2.19201359388275,13.5,0.37037037037037,25.8
"Allosaurus lateral","Late Jurassic",10.63,9.77,0.919096895578551,2.31608654750706,11,0.454545454545455,24.62
"Allosaurus lateral","Late Jurassic",16.1,13.82,0.858385093167702,2.53726708074534,11,0.454545454545455,40.85
"Allosaurus lateral","Late Jurassic",16.7,13.4,0.802395209580838,2.04191616766467,11,0.454545454545455,34.1
