"Taxa (Genus)","Epoch","Log_CBL","Log_CBW","Log_CH","Log_CBR","Log_CHR","Log_DC"
"Ceratosaurus","Late Jurassic",1.37106786227174,1.15624619039734,1.64434009882632,-0.214821671874392,0.273272236554586,0.920645001406788
"Ceratosaurus","Late Jurassic",1.29512708525219,1.15259407792747,1.55545721720465,-0.142533007324721,0.260330131952458,0.920645001406788
"Ceratosaurus","Late Jurassic",1.34163233577805,1.16046853111904,1.61172330800734,-0.181163804659017,0.270090972229287,0.903089986991944
"Ceratosaurus","Late Jurassic",1.4929000111087,1.12287092286444,1.82256033694269,-0.370029088244268,0.329660325833989,1.05115252244738
"Ceratosaurus","Late Jurassic",1.52891670027765,1.07736790528416,1.86236993712288,-0.451548794993498,0.333453236845228,1.04139268515823
"Ceratosaurus","Late Jurassic",1.43870053290074,0.938519725176492,1.73343802709106,-0.500180807724244,0.294737494190325,1.04139268515823
"Ceratosaurus","Late Jurassic",1.32180548385754,0.988112840268352,1.61721009455743,-0.333692643589187,0.295404610699895,1.066698550423
"Ceratosaurus","Late Jurassic",1.26974637313077,1.15472820744016,1.50866436305294,-0.115018165690611,0.238917989922176,1
"Ceratosaurus","Late Jurassic",1.34222522936079,0.964259630196849,1.5928426831311,-0.377965599163941,0.25061745377031,1.07918124604762
"Ceratosaurus","Late Jurassic",1.24600590407603,0.868056361823042,1.48129927333286,-0.377949542252988,0.235293369256827,1.066698550423
"Ceratosaurus","Late Jurassic",1.41262852054438,1.16996817399689,1.50009919191572,-0.242660346547483,0.0874706713713476,0.903089986991944
"Ceratosaurus","Late Jurassic",1.36172783601759,1.22556771343947,1.62211036036122,-0.136160122578122,0.260382524343627,0.903089986991944
"Ceratosaurus","Late Jurassic",1.3809344633307,1.17260293120986,1.61971926561173,-0.208331532120842,0.238784802281025,0.954242509439325
"Ceratosaurus","Late Jurassic",1.30663944102426,1.15563963375978,1.58759872972124,-0.150999807264485,0.280959288696983,0.903089986991944
"Ceratosaurus","Late Jurassic",1.35487642251623,1.1430148002541,1.59824319165362,-0.211861622262139,0.243366769137389,0.845098040014257
"Ceratosaurus","Late Jurassic",1.40602894496362,1.17897694729317,1.71028664770289,-0.227051997670446,0.304257702739276,0.954242509439325
"Ceratosaurus","Late Jurassic",1.4714384073893,1.10991586302379,1.79035554641439,-0.361522544365506,0.318917139025087,1
"Ceratosaurus","Late Jurassic",1.51785541893003,1.14612803567824,1.8750612633917,-0.371727383251791,0.357205844461671,1.04139268515823
"Ceratosaurus","Late Jurassic",1.43964842956347,1.02242837118549,1.71916549408921,-0.417220058377987,0.27951706452574,1.07918124604762
"Ceratosaurus","Late Jurassic",1.31785448933147,0.959994838328416,1.58103894877217,-0.357859651003053,0.263184459440698,1.02118929906994
"Masiakasaurus","Late Cretaceous",0.350248018334163,0.404833716619938,0.822168079368018,0.0545856982857752,0.471920061033855,1.54406804435028
"Masiakasaurus","Late Cretaceous",0.3654879848909,0.344392273685111,0.785329835010767,-0.0210957112057889,0.419841850119867,1.60205999132796
"Masiakasaurus","Late Cretaceous",0.445604203273598,0.541579243946581,0.886490725172482,0.0959750406729834,0.440886521898884,1.47712125471966
"Masiakasaurus","Late Cretaceous",0.456366033129043,0.309630167425899,0.79448804665917,-0.146735865703144,0.338122013530127,1.60205999132796
"Masiakasaurus","Late Cretaceous",0.482873583608754,0.267171728403014,0.677606952720493,-0.21570185520574,0.194733369111739,1.60205999132796
"Masiakasaurus","Late Cretaceous",0.704150516839799,0.309630167425899,0.940018155007663,-0.3945203494139,0.235867638167864,1.26316246496222
"Masiakasaurus","Late Cretaceous",0.382017042574868,0.110589710299249,0.660865478003869,-0.271427332275619,0.278848435429001,1.60205999132796
"Masiakasaurus","Late Cretaceous",0.797267540830716,0.496929648073215,1.0565237240791,-0.300337892757502,0.259256183248384,1.17609125905568
"Masiakasaurus","Late Cretaceous",0.440909082065218,0.136720567156407,0.637489729512511,-0.304188514908811,0.196580647447293,1.54406804435028
"Masiakasaurus","Late Cretaceous",0.666517980554881,0.389166084364532,1.0733517023869,-0.277351896190348,0.40683372183202,1.17609125905568
"Masiakasaurus","Late Cretaceous",0.650307523131936,0.594392550375427,0.872738827472669,-0.0559149727565097,0.222431304340732,1.16136800223497
"Masiakasaurus","Late Cretaceous",0.724275869600789,0.357934847000454,0.842609239610562,-0.366341022600335,0.118333370009773,1.39794000867204
"Masiakasaurus","Late Cretaceous",0.788875115775417,0.480006942957151,1.15381486434453,-0.308868172818266,0.364939748569112,1.35218251811136
"Masiakasaurus","Late Cretaceous",0.850646235183066,0.541579243946581,1.01870049866624,-0.309066991236486,0.168054263483177,1.26717172840301
"Masiakasaurus","Late Cretaceous",0.664641975556125,0.397940008672038,1.06595298031387,-0.266701966884088,0.401311004757744,1.17609125905568
"Masiakasaurus","Late Cretaceous",0.693726948923647,0.383815365980431,0.933487287848705,-0.309911582943216,0.239760338925058,1.30102999566398
