"CladeToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",21.99,9.21,0.418826739427012,1.78080945884493,12,0.416666666666667,39.16
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",17.62,7.38,0.418842224744608,1.71906923950057,11.66,0.428816466552316,30.29
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",25.86,14.79,0.571925754060325,1.223124516628,8,0.625,31.63
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",23,16.81,0.730869565217391,1.82130434782609,8,0.625,41.89
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",24.04,14.88,0.618968386023295,1.73294509151414,9,0.555555555555556,41.66
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",20.26,14.31,0.706317867719645,1.90967423494571,8,0.625,38.69
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",22.64,13.9,0.613957597173145,1.75132508833922,7,0.714285714285714,39.65
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",25.47,15.1,0.592854338437377,2.01491951315273,9,0.555555555555556,51.32
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",29.61,12.88,0.434988179669031,2.08409321175279,10,0.5,61.71
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",32.95,14,0.424886191198786,2.27617602427921,11,0.454545454545455,75
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",27.52,10.53,0.382630813953488,1.90334302325581,12,0.416666666666667,52.38
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",20.79,9.12,0.438672438672439,1.83309283309283,10.5,0.476190476190476,38.11
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic - Early Cretaceous",6.47,5.29,0.817619783616692,2.34466769706337,14,0.357142857142857,15.17
"Non-abelisauroid Ceratosauria Lateral","Early Jurassic",17.8,6.4,0.359550561797753,1.81460674157303,15,0.333333333333333,32.3
"Non-abelisauroid Ceratosauria Lateral","Early Jurassic",18.6,9.1,0.489247311827957,2.24731182795699,13.5,0.37037037037037,41.8
"Noasauridae Lateral","Late Cretaceous",3.11,1.84,0.591639871382637,1.07073954983923,20,0.25,3.33
"Noasauridae Lateral","Late Cretaceous",3.04,1.81,0.595394736842105,1.63815789473684,25,0.2,4.98
"Noasauridae Lateral","Late Cretaceous",2.86,2.04,0.713286713286713,2.17832167832168,40,0.125,6.23
"Noasauridae Lateral","Late Cretaceous",3.04,1.85,0.608552631578947,1.56578947368421,40,0.125,4.76
"Noasauridae Lateral","Late Cretaceous",5.06,2.04,0.403162055335968,1.72134387351779,18.33,0.272776868521549,8.71
