"Clade","Epoch","CBL","CBW","CH","CBR","CHR","DC"
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.57,1.98,4.65,0.770428015564202,1.80933852140078,27.5
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.92,1.63,5.84,0.558219178082192,2,25
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.88,1.34,4.16,0.465277777777778,1.44444444444444,24
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",1.7,2.2,4.8,1.29411764705882,2.82352941176471,22.5
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",5.73,6.95,14.77,1.21291448516579,2.57766143106457,14.16
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",2.5,4.2,6.8,1.68,2.72,18
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",3.5,5,9,1.42857142857143,2.57142857142857,17
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",3.5,4.6,8.8,1.31428571428571,2.51428571428571,17.5
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",2.7,4.6,9.4,1.7037037037037,3.48148148148148,17.5
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",9.5,4.8,16.8,0.505263157894737,1.76842105263158,14
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",9.8,4.2,19.4,0.428571428571429,1.97959183673469,16
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",8.1,3.3,10,0.407407407407407,1.23456790123457,18.5
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",7.4,3.4,11,0.459459459459459,1.48648648648649,20
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",9.6,3.8,14.3,0.395833333333333,1.48958333333333,18.33
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",8.9,3.1,14,0.348314606741573,1.57303370786517,18
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",10.7,4,19.1,0.373831775700935,1.78504672897196,15
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",10.3,4.7,21.2,0.45631067961165,2.05825242718447,17
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",8,4.9,18.8,0.6125,2.35,15.5
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",9,3.6,13.4,0.4,1.48888888888889,16.66
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",7,4.2,14.2,0.6,2.02857142857143,15
"Non-tyrannosaurid Tyrannosauroidea","Early Cretaceous",8.7,3,12,0.344827586206897,1.37931034482759,18.5
"Tyrannosauridae","Late Cretaceous",12.44,6.7,22.85,0.538585209003215,1.83681672025723,13.5
"Tyrannosauridae","Late Cretaceous",11.98,6,18.66,0.500834724540901,1.5575959933222,15
"Tyrannosauridae","Late Cretaceous",11.99,5.59,18.2,0.466221851542952,1.51793160967473,15
"Tyrannosauridae","Late Cretaceous",13.68,7.86,34.08,0.574561403508772,2.49122807017544,13.5
"Tyrannosauridae","Late Cretaceous",18.03,8.38,39.84,0.464780920687743,2.20965058236273,13
"Tyrannosauridae","Late Cretaceous",16.63,6.25,31.71,0.375826819001804,1.90679494888755,14
"Tyrannosauridae","Late Cretaceous",15.81,5.99,26.49,0.37887413029728,1.67552182163188,14
"Tyrannosauridae","Late Cretaceous",15.48,5.81,24.21,0.375322997416021,1.56395348837209,16
"Tyrannosauridae","Late Cretaceous",12.66,4.92,19.85,0.388625592417062,1.56793048973144,16
"Tyrannosauridae","Late Cretaceous",10.92,4.6,16.09,0.421245421245421,1.47344322344322,15
"Tyrannosauridae","Late Cretaceous",13.45,6.74,23.44,0.501115241635688,1.74275092936803,14
"Tyrannosauridae","Late Cretaceous",12.1,7.19,25.84,0.594214876033058,2.13553719008264,13.5
"Tyrannosauridae","Late Cretaceous",13.12,5.6,22.97,0.426829268292683,1.75076219512195,16
"Tyrannosauridae","Late Cretaceous",12.46,5.49,20.39,0.440609951845907,1.63643659711075,16
"Tyrannosauridae","Late Cretaceous",12.29,5.49,19.74,0.446704637917006,1.60618388934093,14
"Tyrannosauridae","Late Cretaceous",9.55,4.54,13.01,0.475392670157068,1.36230366492147,19
"Tyrannosauridae","Late Cretaceous",12.4,11.6,25.53,0.935483870967742,2.05887096774194,11
"Tyrannosauridae","Late Cretaceous",17.82,14.25,42.21,0.7996632996633,2.36868686868687,12.5
"Tyrannosauridae","Late Cretaceous",21.28,10.77,39.68,0.506109022556391,1.86466165413534,11
"Tyrannosauridae","Late Cretaceous",21.24,12.89,43.84,0.606873822975518,2.06403013182674,12
"Tyrannosauridae","Late Cretaceous",19.96,13.56,43.31,0.67935871743487,2.16983967935872,14
"Tyrannosauridae","Late Cretaceous",17.81,7.67,31.91,0.430656934306569,1.79169006176305,12.5
"Tyrannosauridae","Late Cretaceous",18.48,11.41,37,0.617424242424242,2.0021645021645,13
"Tyrannosauridae","Late Cretaceous",17.72,9.21,31.3,0.519751693002257,1.76636568848758,15
"Tyrannosauridae","Late Cretaceous",13.69,8.83,22.19,0.64499634769905,1.6208911614317,14
"Tyrannosauridae","Late Cretaceous",26.48,13.4,54.85,0.506042296072508,2.0713746223565,11.5
"Tyrannosauridae","Late Cretaceous",20.55,10.57,40.31,0.514355231143552,1.96155717761557,11
"Tyrannosauridae","Late Cretaceous",22.2,15.8,40,0.711711711711712,1.8018018018018,10
"Tyrannosauridae","Late Cretaceous",20.6,14.6,38.9,0.70873786407767,1.88834951456311,10.5
"Tyrannosauridae","Late Cretaceous",20.3,14.9,42.5,0.733990147783251,2.0935960591133,10
"Tyrannosauridae","Late Cretaceous",16.6,12.4,29.6,0.746987951807229,1.78313253012048,11
"Tyrannosauridae","Late Cretaceous",17.9,12.6,27,0.70391061452514,1.50837988826816,11.5
"Tyrannosauridae","Late Cretaceous",14.83,7.88,29.05,0.531355360755226,1.95886716115981,15
"Tyrannosauridae","Late Cretaceous",14.59,8.72,29.83,0.597669636737492,2.04455106237149,15
"Tyrannosauridae","Late Cretaceous",13.69,7.51,23.65,0.548575602629657,1.72753834915997,15
"Tyrannosauridae","Late Cretaceous",9.65,7.51,20.09,0.778238341968912,2.08186528497409,13.5
"Tyrannosauridae","Late Cretaceous",19.01,9.84,42.29,0.5176223040505,2.22461862177801,13.5
"Tyrannosauridae","Late Cretaceous",16.15,8.81,35.22,0.545510835913313,2.18080495356037,15.5
"Tyrannosauridae","Late Cretaceous",15.48,8.13,29.09,0.525193798449612,1.87919896640827,16.5
"Tyrannosauridae","Late Cretaceous",14.64,9.31,28.6,0.635928961748634,1.95355191256831,14
